WT 0.1M sucrose	
4/4/2023 5:34 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	0.599
190.5	0.542
191	0.51
191.5	0.456
192	0.421
192.5	0.394
193	0.362
193.5	0.33
194	0.277
194.5	0.246
195	0.22
195.5	0.211
196	0.209
196.5	0.205
197	0.226
197.5	0.229
198	0.227
198.5	0.229
199	0.226
199.5	0.228
200	0.215
200.5	0.207
201	0.19
201.5	0.172
202	0.153
202.5	0.142
203	0.137
203.5	0.149
204	0.154
204.5	0.158
205	0.147
205.5	0.148
206	0.141
206.5	0.127
207	0.126
207.5	0.131
208	0.128
208.5	0.129
209	0.13
209.5	0.128
210	0.123
210.5	0.126
211	0.123
211.5	0.118
212	0.114
212.5	0.117
213	0.123
213.5	0.121
214	0.118
214.5	0.123
215	0.111
215.5	0.107
216	0.105
216.5	0.096
217	0.089
217.5	0.092
218	0.091
218.5	0.086
219	0.083
219.5	0.078
220	0.07
220.5	0.071
221	0.064
221.5	0.054
222	0.05
222.5	0.05
223	0.047
223.5	0.05
224	0.054
224.5	0.054
225	0.058
225.5	0.063
226	0.057
226.5	0.054
227	0.052
227.5	0.048
228	0.04
228.5	0.036
229	0.034
229.5	0.025
230	0.024
230.5	0.023
231	0.023
231.5	0.023
232	0.021
232.5	0.026
233	0.023
233.5	0.019
234	0.019
234.5	0.018
235	0.022
235.5	0.022
236	0.024
236.5	0.023
237	0.026
237.5	0.028
238	0.023
238.5	0.019
239	0.02
239.5	0.021
240	0.023
240.5	0.018
241	0.015
241.5	0.016
242	0.016
242.5	0.015
243	0.014
243.5	0.012
244	0.014
244.5	0.016
245	0.02
245.5	0.018
246	0.019
246.5	0.022
247	0.023
247.5	0.027
248	0.025
248.5	0.022
249	0.021
249.5	0.025
250	0.025
250.5	0.021
251	0.02
251.5	0.017
252	0.016
252.5	0.014
253	0.014
253.5	0.013
254	0.016
254.5	0.02
255	0.018
255.5	0.019
256	0.02
256.5	0.021
257	0.021
257.5	0.021
258	0.023
258.5	0.026
259	0.027
259.5	0.023
260	0.02
260.5	0.018
261	0.017
261.5	0.018
262	0.015
262.5	0.018
263	0.02
263.5	0.022
264	0.02
264.5	0.017
265	0.017
265.5	0.015
266	0.015
266.5	0.01
267	0.006
267.5	0.012
268	0.015
268.5	0.019
269	0.02
269.5	0.023
270	0.024
270.5	0.023
271	0.022
271.5	0.014
272	0.012
272.5	0.012
273	0.016
273.5	0.019
274	0.017
274.5	0.014
275	0.012
275.5	0.012
276	0.013
276.5	0.01
277	0.01
277.5	0.013
278	0.015
278.5	0.015
279	0.013
279.5	0.012
280	0.014
280.5	0.015
281	0.013
281.5	0.014
282	0.014
282.5	0.017
283	0.018
283.5	0.018
284	0.022
284.5	0.022
285	0.025
285.5	0.025
286	0.021
286.5	0.02
287	0.015
287.5	0.012
288	0.013
288.5	0.012
289	0.015
289.5	0.014
290	0.02
290.5	0.02
291	0.019
291.5	0.018
292	0.014
292.5	0.014
293	0.014
293.5	0.01
294	0.01
294.5	0.012
295	0.014
295.5	0.011
296	0.012
296.5	0.013
297	0.015
297.5	0.017
298	0.017
298.5	0.013
299	0.015
299.5	0.014
300	0.012
300.5	0.011
301	0.013
301.5	0.014
302	0.015
302.5	0.014
303	0.014
303.5	0.011
304	0.011
304.5	0.012
305	0.015
305.5	0.014
306	0.014
306.5	0.014
307	0.014
307.5	0.014
308	0.013
308.5	0.012
309	0.014
309.5	0.015
310	0.017
310.5	0.012
311	0.013
311.5	0.014
312	0.012
312.5	0.01
313	0.011
313.5	0.011
314	0.012
314.5	0.012
315	0.016
315.5	0.017
316	0.02
316.5	0.02
317	0.019
317.5	0.016
318	0.013
318.5	0.011
319	0.012
319.5	0.013
320	0.014
320.5	0.013
321	0.014
321.5	0.018
322	0.018
322.5	0.012
323	0.01
323.5	0.009
324	0.009
324.5	0.006
325	0.005
325.5	0.007
326	0.009
326.5	0.012
327	0.013
327.5	0.013
328	0.017
328.5	0.02
329	0.023
329.5	0.023
330	0.023
330.5	0.024
331	0.02
331.5	0.019
332	0.017
332.5	0.014
333	0.013
333.5	0.013
334	0.009
334.5	0.006
335	0.007
335.5	0.008
336	0.008
336.5	0.011
337	0.012
337.5	0.016
338	0.019
338.5	0.019
339	0.021
339.5	0.021
340	0.024
340.5	0.019
341	0.017
341.5	0.013
342	0.01
342.5	0.012
343	0.012
343.5	0.011
344	0.012
344.5	0.013
345	0.013
345.5	0.01
346	0.012
